Date,Day,Mood,Productivity Score,Energy Level,Gym,Day Type,Reading,Sleep Hours,Games Played,Music Related,Custom Activities
2025-06-20,Friday,Great,3,Medium,"['Cardio', 'Arms Day']",Classes,False,7.9,"['Zelda', 'Chess']","['Vocals', 'Guitar', 'Recording']","['Work in HabitLens', 'Hangout with Cami', 'Meditation']"
2025-06-19,Thursday,Meh,2,Medium,['Chest Day'],Office,True,6.4,"[""Baldur's Gate""]","['Piano', 'Recording', 'Guitar']","['Meditation', 'Hangout with Cami', 'Dinner with Cami']"
2025-06-18,Wednesday,Good,1,Very High,['Cardio'],Classes,True,6.7,[],[],"['Hangout with Cami', 'Dinner with Cami']"
2025-06-17,Tuesday,Neutral,2,Medium,['Arms Day'],Office,True,8.4,[],"['Composition', 'Practice']",['Work in HabitLens']
2025-06-16,Monday,Amazing,4,Medium,[],Classes,False,6.1,"['Zelda', ""Baldur's Gate""]","['Bass', 'Vocals']","['Dinner with Cami', 'Work in HabitLens', 'Hangout with Cami']"
2025-06-15,Sunday,Neutral,3,High,[],Weekend,False,7.4,[],['Bass'],"['Dinner with Cami', 'Work in HabitLens']"
2025-06-14,Saturday,Meh,5,Medium,"['Back Day', 'Cardio']",Weekend,True,8.8,[],['Practice'],"['Cooking', 'Meditation', 'Work in HabitLens']"
2025-06-13,Friday,Good,3,Very High,['Cardio'],Home office,False,6.5,"['Chess', 'Clash Royale']",[],"['Cooking', 'Hangout with Cami', 'Meditation']"
2025-06-12,Thursday,Sad,4,Medium,[],Office,True,8.4,[],[],"['Dinner with Cami', 'Cooking', 'Work in HabitLens']"
2025-06-11,Wednesday,Neutral,4,Medium,"['Arms Day', 'Back Day']",Classes,False,6.3,[],[],['Meditation']
2025-06-10,Tuesday,Great,2,High,[],Home office,False,6.8,['Clash Royale'],[],['Dinner with Cami']
2025-06-09,Monday,Neutral,4,Low,"['Back Day', 'Arms Day']",Office,False,4.5,"['Clash Royale', 'Zelda']",['Composition'],"['Cooking', 'Meditation']"
2025-06-08,Sunday,Neutral,5,Medium,"['Legs Day', 'Arms Day']",Weekend,False,7.1,"[""Baldur's Gate""]",['Guitar'],"['Meditation', 'Work in HabitLens', 'Hangout with Cami']"
2025-06-07,Saturday,Neutral,1,High,[],Weekend,True,6.5,"['Zelda', 'Chess']",[],[]
2025-06-06,Friday,Good,4,Medium,['Back Day'],Office,True,7.2,['Clash Royale'],"['Practice', 'Vocals', 'Listening']",[]
2025-06-05,Thursday,Terrible,1,Medium,[],Classes,False,7.2,['Clash Royale'],[],"['Hangout with Cami', 'Work in HabitLens']"
2025-06-04,Wednesday,Meh,2,High,"['Legs Day', 'Cardio']",Classes,False,6.3,[],['Practice'],"['Work in HabitLens', 'Hangout with Cami']"
2025-06-03,Tuesday,Neutral,5,High,['Cardio'],Home office,True,6.9,"['Clash Royale', ""Baldur's Gate""]","['Practice', 'Composition']","['Hangout with Cami', 'Meditation', 'Work in HabitLens']"
2025-06-02,Monday,Good,5,Medium,"['Cardio', 'Legs Day']",Home office,True,4.8,[],[],"['Meditation', 'Cooking', 'Work in HabitLens']"
2025-06-01,Sunday,Sad,2,Medium,[],Weekend,True,6.0,[],"['Composition', 'Vocals', 'Listening']","['Hangout with Cami', 'Cooking']"
2025-05-31,Saturday,Good,4,Medium,[],Weekend,False,6.9,"[""Baldur's Gate""]","['Recording', 'Listening', 'Guitar']",[]
2025-05-30,Friday,Amazing,2,Very High,[],Home office,True,6.3,"['Clash Royale', 'Chess']",[],"['Dinner with Cami', 'Meditation', 'Cooking']"
2025-05-29,Thursday,Good,2,Low,"['Back Day', 'Arms Day']",Office,True,6.1,"[""Baldur's Gate"", 'Chess']",['Piano'],['Dinner with Cami']
2025-05-28,Wednesday,Great,1,High,"['Legs Day', 'Cardio']",Home office,True,7.3,['Chess'],"['Bass', 'Composition']","['Meditation', 'Cooking']"
2025-05-27,Tuesday,Neutral,2,Medium,['Legs Day'],Classes,True,5.8,[],"['Composition', 'Practice']","['Hangout with Cami', 'Meditation']"
2025-05-26,Monday,Amazing,5,Medium,[],Office,True,7.8,['Chess'],['Practice'],"['Dinner with Cami', 'Meditation', 'Work in HabitLens']"
2025-05-25,Sunday,Good,5,Medium,['Arms Day'],Weekend,True,7.8,"[""Baldur's Gate"", 'Zelda']","['Composition', 'Guitar']","['Cooking', 'Hangout with Cami', 'Work in HabitLens']"
2025-05-24,Saturday,Good,1,Low,['Arms Day'],Weekend,False,6.5,['Chess'],['Practice'],"['Work in HabitLens', 'Cooking', 'Hangout with Cami']"
2025-05-23,Friday,Great,1,Low,['Cardio'],Office,True,5.7,['Zelda'],"['Listening', 'Composition', 'Recording']","['Hangout with Cami', 'Cooking']"
2025-05-22,Thursday,Neutral,3,High,"['Legs Day', 'Arms Day']",Home office,True,7.1,['Chess'],"['Recording', 'Composition', 'Bass']","['Work in HabitLens', 'Meditation', 'Dinner with Cami']"
2025-05-21,Wednesday,Neutral,4,Medium,[],Office,True,6.6,"['Clash Royale', ""Baldur's Gate""]",[],"['Cooking', 'Dinner with Cami']"
2025-05-20,Tuesday,Amazing,4,High,['Back Day'],Home office,True,6.3,"['Zelda', ""Baldur's Gate""]","['Guitar', 'Vocals']","['Hangout with Cami', 'Cooking', 'Dinner with Cami']"
2025-05-19,Monday,Meh,5,High,['Back Day'],Weekend,True,4.9,['Chess'],[],"['Dinner with Cami', 'Work in HabitLens']"
2025-05-18,Sunday,Neutral,2,Low,[],Weekend,True,6.0,['Zelda'],[],[]
2025-05-17,Saturday,Neutral,1,Very High,[],Weekend,True,5.6,"['Chess', 'Zelda']","['Recording', 'Listening']",['Cooking']
2025-05-16,Friday,Good,1,Medium,"['Legs Day', 'Arms Day']",Home office,False,6.5,"['Clash Royale', 'Chess']",[],"['Hangout with Cami', 'Cooking']"
2025-05-15,Thursday,Good,5,Medium,"['Cardio', 'Legs Day']",Office,True,7.2,[],['Recording'],['Work in HabitLens']
2025-05-14,Wednesday,Good,2,Medium,[],Weekend,True,7.9,"['Clash Royale', 'Chess']",['Composition'],[]
2025-05-13,Tuesday,Neutral,5,High,['Cardio'],Office,True,8.3,['Clash Royale'],"['Vocals', 'Practice', 'Guitar']",['Cooking']
2025-05-12,Monday,Neutral,3,Medium,"['Cardio', 'Back Day']",Weekend,False,5.9,"[""Baldur's Gate""]",['Piano'],"['Meditation', 'Hangout with Cami']"
2025-05-11,Sunday,Great,1,Medium,"['Arms Day', 'Chest Day']",Weekend,False,5.8,"[""Baldur's Gate"", 'Zelda']","['Bass', 'Listening', 'Piano']",['Work in HabitLens']
2025-05-10,Saturday,Neutral,2,Medium,['Back Day'],Weekend,False,7.3,"[""Baldur's Gate""]",[],"['Hangout with Cami', 'Dinner with Cami', 'Cooking']"
2025-05-09,Friday,Meh,3,Medium,['Chest Day'],Office,True,6.4,"['Chess', ""Baldur's Gate""]",['Listening'],[]
2025-05-08,Thursday,Great,2,Medium,[],Home office,False,7.2,"['Clash Royale', 'Zelda']","['Bass', 'Vocals']","['Hangout with Cami', 'Dinner with Cami', 'Meditation']"
2025-05-07,Wednesday,Neutral,1,Medium,['Cardio'],Home office,False,7.1,[],"['Guitar', 'Listening', 'Practice']","['Hangout with Cami', 'Cooking']"
2025-05-06,Tuesday,Great,5,Low,[],Office,False,6.8,['Chess'],"['Recording', 'Listening']","['Work in HabitLens', 'Hangout with Cami', 'Cooking']"
2025-05-05,Monday,Good,5,Medium,[],Office,True,7.6,['Clash Royale'],['Listening'],"['Meditation', 'Cooking']"
2025-05-04,Sunday,Good,1,Medium,[],Weekend,False,6.8,[],"['Guitar', 'Composition', 'Listening']",[]
2025-05-03,Saturday,Neutral,3,Medium,['Arms Day'],Weekend,True,6.5,"['Clash Royale', 'Chess']","['Piano', 'Listening']",['Dinner with Cami']
2025-05-02,Friday,Meh,3,High,[],Office,True,9.0,"['Chess', 'Clash Royale']",['Practice'],"['Hangout with Cami', 'Meditation', 'Dinner with Cami']"
2025-05-01,Thursday,Terrible,3,High,['Legs Day'],Office,False,7.6,"['Clash Royale', ""Baldur's Gate""]",['Practice'],['Meditation']
2025-04-30,Wednesday,Amazing,1,Medium,['Chest Day'],Classes,True,8.2,[],"['Practice', 'Listening']","['Cooking', 'Meditation']"
2025-04-29,Tuesday,Neutral,4,Medium,"['Legs Day', 'Back Day']",Classes,True,7.5,"[""Baldur's Gate""]",['Practice'],['Hangout with Cami']
2025-04-28,Monday,Good,4,Low,['Arms Day'],Office,False,6.7,"[""Baldur's Gate""]",['Bass'],"['Meditation', 'Dinner with Cami', 'Cooking']"
2025-04-27,Sunday,Good,1,Medium,['Chest Day'],Weekend,False,9.0,['Clash Royale'],"['Composition', 'Listening', 'Practice']",['Dinner with Cami']
2025-04-26,Saturday,Good,2,High,"['Chest Day', 'Legs Day']",Weekend,True,6.9,[],['Practice'],['Work in HabitLens']
2025-04-25,Friday,Good,3,Very Low,['Legs Day'],Office,False,8.0,[],"['Recording', 'Listening']",[]
2025-04-24,Thursday,Neutral,1,Medium,"['Legs Day', 'Back Day']",Classes,False,5.7,['Chess'],['Piano'],[]
2025-04-23,Wednesday,Great,2,Very Low,"['Legs Day', 'Cardio']",Weekend,True,6.5,['Chess'],[],"['Dinner with Cami', 'Hangout with Cami']"
2025-04-22,Tuesday,Good,1,Very High,['Arms Day'],Weekend,False,8.1,"['Chess', ""Baldur's Gate""]",['Composition'],['Dinner with Cami']
2025-04-21,Monday,Amazing,2,Very Low,['Arms Day'],Classes,False,7.4,"['Zelda', 'Clash Royale']",['Vocals'],[]
2025-04-20,Sunday,Neutral,1,Medium,[],Weekend,True,7.0,"['Zelda', ""Baldur's Gate""]","['Vocals', 'Practice']",['Meditation']
2025-04-19,Saturday,Good,4,Medium,"['Chest Day', 'Legs Day']",Weekend,True,7.0,['Clash Royale'],"['Listening', 'Bass']","['Cooking', 'Dinner with Cami', 'Meditation']"
2025-04-18,Friday,Good,3,Medium,[],Office,False,5.4,"['Zelda', 'Chess']",[],"['Cooking', 'Hangout with Cami']"
2025-04-17,Thursday,Great,4,High,[],Office,False,5.2,"['Clash Royale', 'Chess']","['Piano', 'Guitar', 'Listening']","['Hangout with Cami', 'Cooking', 'Dinner with Cami']"
2025-04-16,Wednesday,Neutral,1,Low,['Arms Day'],Home office,False,5.1,"['Zelda', ""Baldur's Gate""]",['Vocals'],[]
2025-04-15,Tuesday,Neutral,1,High,[],Classes,True,6.0,"['Zelda', 'Chess']","['Listening', 'Recording', 'Guitar']",['Cooking']
2025-04-14,Monday,Good,4,High,[],Home office,False,8.1,[],[],"['Meditation', 'Work in HabitLens']"
2025-04-13,Sunday,Good,1,Medium,[],Weekend,True,5.6,"[""Baldur's Gate""]","['Listening', 'Bass', 'Guitar']",['Hangout with Cami']
2025-04-12,Saturday,Good,1,Medium,['Arms Day'],Weekend,True,7.0,"[""Baldur's Gate"", 'Zelda']",[],['Work in HabitLens']
2025-04-11,Friday,Great,2,Medium,"['Cardio', 'Legs Day']",Classes,True,7.0,[],['Vocals'],"['Dinner with Cami', 'Cooking']"
2025-04-10,Thursday,Neutral,2,High,[],Classes,False,6.9,"['Chess', ""Baldur's Gate""]","['Composition', 'Practice', 'Listening']",['Dinner with Cami']
2025-04-09,Wednesday,Neutral,5,Medium,[],Home office,False,7.6,['Zelda'],"['Recording', 'Piano']","['Meditation', 'Dinner with Cami']"
2025-04-08,Tuesday,Great,2,Medium,['Chest Day'],Classes,False,6.5,[],[],[]
2025-04-07,Monday,Good,5,Low,['Cardio'],Office,True,4.7,['Chess'],[],"['Cooking', 'Hangout with Cami', 'Dinner with Cami']"
2025-04-06,Sunday,Good,4,Medium,['Arms Day'],Weekend,True,7.3,[],"['Piano', 'Listening']",['Meditation']
2025-04-05,Saturday,Meh,4,Very High,"['Legs Day', 'Chest Day']",Weekend,False,4.9,['Clash Royale'],"['Listening', 'Practice']","['Hangout with Cami', 'Meditation', 'Cooking']"
2025-04-04,Friday,Neutral,5,High,"['Arms Day', 'Cardio']",Home office,True,7.8,"[""Baldur's Gate""]",['Guitar'],"['Work in HabitLens', 'Dinner with Cami']"
2025-04-03,Thursday,Sad,4,High,['Chest Day'],Home office,True,7.2,"['Zelda', 'Clash Royale']",['Listening'],['Hangout with Cami']
2025-04-02,Wednesday,Neutral,1,High,[],Home office,True,5.8,[],"['Piano', 'Composition']",['Cooking']
2025-04-01,Tuesday,Meh,3,Medium,['Back Day'],Office,False,5.8,[],[],['Hangout with Cami']
2025-03-31,Monday,Neutral,1,Low,['Cardio'],Office,True,6.9,"[""Baldur's Gate"", 'Chess']","['Listening', 'Composition', 'Guitar']","['Hangout with Cami', 'Cooking']"
2025-03-30,Sunday,Neutral,5,High,['Arms Day'],Weekend,True,6.2,['Clash Royale'],"['Vocals', 'Guitar', 'Practice']",[]
2025-03-29,Saturday,Great,3,Low,[],Weekend,True,7.6,"['Chess', 'Clash Royale']","['Composition', 'Piano']",[]
2025-03-28,Friday,Amazing,3,Medium,[],Weekend,False,6.8,"['Chess', ""Baldur's Gate""]",[],[]
2025-03-27,Thursday,Neutral,3,High,"['Back Day', 'Arms Day']",Weekend,False,6.8,['Clash Royale'],['Recording'],['Dinner with Cami']
2025-03-26,Wednesday,Great,5,High,"['Arms Day', 'Back Day']",Home office,True,7.2,['Zelda'],"['Listening', 'Bass']",[]
2025-03-25,Tuesday,Good,1,High,"['Cardio', 'Legs Day']",Office,True,5.6,"[""Baldur's Gate""]",['Listening'],"['Hangout with Cami', 'Dinner with Cami']"
2025-03-24,Monday,Neutral,5,High,[],Office,True,6.4,"['Chess', 'Clash Royale']","['Bass', 'Listening', 'Composition']","['Meditation', 'Work in HabitLens', 'Hangout with Cami']"
2025-03-23,Sunday,Great,5,Very High,['Legs Day'],Weekend,False,7.4,"[""Baldur's Gate""]",['Piano'],"['Work in HabitLens', 'Cooking']"
2025-03-22,Saturday,Neutral,3,High,"['Back Day', 'Legs Day']",Weekend,False,7.0,"['Chess', 'Clash Royale']","['Piano', 'Recording', 'Guitar']","['Dinner with Cami', 'Work in HabitLens', 'Hangout with Cami']"
2025-03-21,Friday,Good,4,Very High,[],Weekend,True,6.4,['Clash Royale'],['Guitar'],"['Dinner with Cami', 'Hangout with Cami', 'Work in HabitLens']"
2025-03-20,Thursday,Neutral,2,High,['Chest Day'],Classes,True,8.7,['Zelda'],"['Recording', 'Piano', 'Vocals']","['Dinner with Cami', 'Meditation']"
2025-03-19,Wednesday,Good,5,Low,[],Home office,True,7.2,['Clash Royale'],"['Vocals', 'Guitar']",['Hangout with Cami']
2025-03-18,Tuesday,Great,4,Medium,[],Home office,True,7.0,[],"['Composition', 'Listening']","['Hangout with Cami', 'Meditation']"
2025-03-17,Monday,Good,1,Medium,[],Weekend,False,9.0,['Clash Royale'],['Bass'],['Hangout with Cami']
2025-03-16,Sunday,Meh,3,Medium,"['Arms Day', 'Legs Day']",Weekend,False,6.3,['Zelda'],"['Listening', 'Recording']","['Dinner with Cami', 'Hangout with Cami', 'Work in HabitLens']"
2025-03-15,Saturday,Meh,2,Low,['Legs Day'],Weekend,True,5.7,"[""Baldur's Gate"", 'Zelda']","['Practice', 'Composition']",['Meditation']
2025-03-14,Friday,Amazing,1,Medium,[],Weekend,False,6.3,[],[],['Work in HabitLens']
2025-03-13,Thursday,Good,1,Low,[],Office,False,7.2,[],[],"['Hangout with Cami', 'Work in HabitLens', 'Dinner with Cami']"
2025-03-12,Wednesday,Neutral,2,Medium,[],Classes,False,9.0,"[""Baldur's Gate"", 'Zelda']","['Recording', 'Bass', 'Practice']",[]
2025-03-11,Tuesday,Neutral,1,Medium,['Legs Day'],Classes,False,5.3,[],['Practice'],['Hangout with Cami']
2025-03-10,Monday,Great,4,High,['Cardio'],Office,True,7.9,"['Zelda', ""Baldur's Gate""]","['Vocals', 'Recording']","['Meditation', 'Work in HabitLens']"
2025-03-09,Sunday,Terrible,3,Medium,"['Arms Day', 'Cardio']",Weekend,True,7.5,[],['Composition'],['Work in HabitLens']
2025-03-08,Saturday,Good,2,Medium,"['Back Day', 'Chest Day']",Weekend,True,6.5,[],['Bass'],[]
2025-03-07,Friday,Neutral,3,High,[],Home office,True,7.0,"['Chess', 'Clash Royale']",[],"['Work in HabitLens', 'Hangout with Cami']"
2025-03-06,Thursday,Good,2,Medium,[],Classes,False,6.0,['Chess'],"['Guitar', 'Practice']","['Work in HabitLens', 'Hangout with Cami', 'Meditation']"
2025-03-05,Wednesday,Good,5,Low,"['Cardio', 'Back Day']",Home office,False,6.3,"[""Baldur's Gate"", 'Clash Royale']","['Recording', 'Bass']",['Cooking']
2025-03-04,Tuesday,Neutral,2,Medium,"['Back Day', 'Cardio']",Classes,True,9.0,[],[],[]
2025-03-03,Monday,Great,4,High,['Chest Day'],Classes,True,9.0,"[""Baldur's Gate""]",['Composition'],"['Cooking', 'Work in HabitLens']"
2025-03-02,Sunday,Neutral,1,Medium,"['Cardio', 'Arms Day']",Weekend,True,8.2,['Chess'],['Practice'],"['Hangout with Cami', 'Work in HabitLens', 'Cooking']"
2025-03-01,Saturday,Neutral,2,High,['Cardio'],Weekend,True,6.0,[],"['Recording', 'Piano']",['Work in HabitLens']
2025-02-28,Friday,Neutral,1,High,[],Classes,False,7.4,"['Chess', 'Zelda']","['Guitar', 'Bass']","['Cooking', 'Work in HabitLens']"
2025-02-27,Thursday,Amazing,5,Low,[],Home office,False,8.5,['Chess'],"['Bass', 'Listening', 'Guitar']","['Work in HabitLens', 'Cooking', 'Dinner with Cami']"
2025-02-26,Wednesday,Neutral,3,High,[],Classes,False,7.7,['Clash Royale'],"['Recording', 'Practice', 'Bass']",['Work in HabitLens']
2025-02-25,Tuesday,Good,3,High,['Chest Day'],Weekend,False,8.4,[],['Bass'],['Hangout with Cami']
2025-02-24,Monday,Meh,3,High,[],Office,True,7.9,[],"['Listening', 'Guitar', 'Vocals']","['Cooking', 'Hangout with Cami']"
2025-02-23,Sunday,Great,2,High,"['Back Day', 'Cardio']",Weekend,False,4.9,[],['Practice'],['Work in HabitLens']
2025-02-22,Saturday,Great,1,High,[],Weekend,False,4.8,"[""Baldur's Gate""]",['Recording'],['Hangout with Cami']
2025-02-21,Friday,Great,4,High,['Chest Day'],Office,False,5.3,"[""Baldur's Gate""]","['Guitar', 'Vocals']",['Dinner with Cami']
2025-02-20,Thursday,Neutral,5,Medium,[],Weekend,False,4.7,[],[],['Meditation']
2025-02-19,Wednesday,Great,4,Very High,['Cardio'],Classes,False,7.1,[],"['Recording', 'Practice', 'Bass']","['Work in HabitLens', 'Cooking']"
2025-02-18,Tuesday,Good,1,Medium,[],Office,True,8.1,['Clash Royale'],"['Vocals', 'Composition']",['Dinner with Cami']
2025-02-17,Monday,Great,4,Very High,['Arms Day'],Office,True,7.6,['Clash Royale'],"['Listening', 'Recording']","['Dinner with Cami', 'Meditation']"
2025-02-16,Sunday,Sad,3,High,['Legs Day'],Weekend,True,5.0,['Clash Royale'],[],"['Hangout with Cami', 'Dinner with Cami']"
2025-02-15,Saturday,Good,1,Low,[],Weekend,False,6.8,"['Zelda', 'Chess']",['Bass'],['Hangout with Cami']
2025-02-14,Friday,Sad,3,Medium,[],Office,False,7.5,['Chess'],"['Practice', 'Recording', 'Composition']","['Meditation', 'Dinner with Cami']"
2025-02-13,Thursday,Good,3,Medium,['Cardio'],Classes,False,7.0,[],[],"['Work in HabitLens', 'Dinner with Cami', 'Cooking']"
2025-02-12,Wednesday,Terrible,3,Low,['Arms Day'],Classes,False,5.4,[],['Vocals'],[]
2025-02-11,Tuesday,Meh,1,Medium,[],Office,True,7.5,"['Chess', 'Clash Royale']",['Bass'],[]
2025-02-10,Monday,Good,3,Very High,"['Arms Day', 'Back Day']",Weekend,False,7.5,[],[],"['Meditation', 'Work in HabitLens', 'Cooking']"
2025-02-09,Sunday,Neutral,2,Low,['Legs Day'],Weekend,True,7.0,['Chess'],"['Practice', 'Composition', 'Recording']","['Meditation', 'Work in HabitLens']"
2025-02-08,Saturday,Amazing,3,High,[],Weekend,True,6.0,[],[],"['Hangout with Cami', 'Dinner with Cami', 'Work in HabitLens']"
2025-02-07,Friday,Great,3,High,[],Weekend,True,8.6,['Chess'],"['Piano', 'Guitar', 'Composition']","['Cooking', 'Hangout with Cami', 'Dinner with Cami']"
2025-02-06,Thursday,Neutral,2,High,['Back Day'],Office,True,7.9,"[""Baldur's Gate""]","['Composition', 'Listening', 'Vocals']","['Cooking', 'Work in HabitLens']"
2025-02-05,Wednesday,Neutral,3,Very High,"['Chest Day', 'Cardio']",Office,True,5.3,['Zelda'],"['Bass', 'Guitar', 'Vocals']",['Hangout with Cami']
2025-02-04,Tuesday,Great,3,High,[],Office,True,7.8,"['Chess', 'Zelda']","['Piano', 'Recording']","['Hangout with Cami', 'Dinner with Cami', 'Meditation']"
2025-02-03,Monday,Neutral,2,Medium,[],Classes,False,5.8,[],"['Vocals', 'Composition', 'Practice']","['Work in HabitLens', 'Meditation']"
2025-02-02,Sunday,Amazing,3,High,[],Weekend,True,6.7,"['Zelda', 'Clash Royale']","['Practice', 'Vocals']","['Dinner with Cami', 'Meditation', 'Hangout with Cami']"
2025-02-01,Saturday,Good,3,Very High,['Arms Day'],Weekend,False,5.4,"[""Baldur's Gate""]",['Guitar'],[]
2025-01-31,Friday,Good,1,Low,[],Home office,False,6.3,[],['Practice'],[]
2025-01-30,Thursday,Amazing,4,High,[],Office,True,6.7,[],"['Listening', 'Practice', 'Recording']",[]
2025-01-29,Wednesday,Neutral,4,Medium,['Chest Day'],Weekend,True,6.1,"['Zelda', ""Baldur's Gate""]","['Recording', 'Vocals', 'Guitar']",[]
2025-01-28,Tuesday,Good,1,Medium,['Arms Day'],Classes,True,6.8,['Clash Royale'],[],"['Work in HabitLens', 'Hangout with Cami', 'Dinner with Cami']"
2025-01-27,Monday,Great,3,Medium,['Back Day'],Office,False,8.4,[],[],"['Dinner with Cami', 'Meditation', 'Cooking']"
2025-01-26,Sunday,Amazing,5,Medium,"['Cardio', 'Back Day']",Weekend,True,7.0,"[""Baldur's Gate"", 'Clash Royale']",[],"['Dinner with Cami', 'Work in HabitLens']"
2025-01-25,Saturday,Great,4,Medium,[],Weekend,False,6.2,[],[],"['Meditation', 'Work in HabitLens', 'Cooking']"
2025-01-24,Friday,Neutral,4,Low,[],Office,False,4.4,[],['Listening'],[]
2025-01-23,Thursday,Good,5,High,"['Chest Day', 'Cardio']",Home office,True,5.8,[],[],"['Hangout with Cami', 'Dinner with Cami', 'Meditation']"
2025-01-22,Wednesday,Neutral,3,Medium,[],Classes,True,8.1,[],[],['Hangout with Cami']
2025-01-21,Tuesday,Good,1,Low,[],Home office,True,7.2,"['Zelda', 'Chess']","['Bass', 'Guitar', 'Listening']",['Hangout with Cami']
2025-01-20,Monday,Neutral,5,High,[],Home office,True,6.1,[],"['Practice', 'Recording', 'Bass']",['Work in HabitLens']
2025-01-19,Sunday,Great,3,Medium,[],Weekend,False,7.4,[],[],"['Cooking', 'Hangout with Cami', 'Dinner with Cami']"
2025-01-18,Saturday,Amazing,5,Very High,['Cardio'],Weekend,True,6.3,['Chess'],['Piano'],"['Work in HabitLens', 'Hangout with Cami', 'Cooking']"
2025-01-17,Friday,Great,2,Medium,['Cardio'],Home office,False,8.6,['Clash Royale'],['Guitar'],"['Work in HabitLens', 'Cooking', 'Hangout with Cami']"
